classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.GBM,quaternion,619.5363688468933,19,0.0290069580078125,0.6404320987654321,0.6363729215520408,0.6395300842112072,0.6404320987654322
Classifiers.MLP,euler,113.67330026626587,0,0.01400303840637207,0.46141975308641975,0.4522616509003074,0.46445744250250687,0.46141975308641975
Classifiers.MLP,euler,94.75808572769165,1,0.015003681182861328,0.4652777777777778,0.4608860876507133,0.4675348821899029,0.4652777777777778
Classifiers.MLP,euler,96.29442977905273,2,0.015006065368652344,0.44830246913580246,0.44442152714179106,0.47927772325765566,0.44830246913580246
Classifiers.MLP,euler,112.68008780479431,3,0.011002779006958008,0.47762345679012347,0.46463247138708474,0.4767777232645271,0.4776234567901234
Classifiers.MLP,euler,112.63215517997742,4,0.014002561569213867,0.4540895061728395,0.44672427643454654,0.44918916886129445,0.4540895061728395
Classifiers.MLP,euler,112.37709832191467,5,0.01000213623046875,0.4675925925925926,0.4598083064008818,0.4767927971593984,0.46759259259259256
Classifiers.MLP,euler,107.15393042564392,6,0.015006780624389648,0.44290123456790126,0.4307278978276416,0.44731164837124787,0.44290123456790126
Classifiers.MLP,euler,108.58525061607361,7,0.014003276824951172,0.44753086419753085,0.43951739722400135,0.4606798700780945,0.44753086419753085
Classifiers.MLP,euler,103.1670355796814,8,0.016002893447875977,0.4359567901234568,0.4314187462814501,0.47127123140054294,0.43595679012345673
Classifiers.MLP,euler,94.71615791320801,9,0.016002416610717773,0.45794753086419754,0.4469827777738032,0.4492925159490814,0.45794753086419754
